REGISTRY_ID,Previous_S,Source,Location_S,New_,LOCATION_ADDRESS,PRIMARY_NAME,CITY_NAME,COUNTY_NAME,STATE_CODE,ZIP_CODE,LATITUDE83,FAC_COLLEC,LONGITUDE83,FAC_ACCURACY,FAC_REFERENCE,AIR,FAC_DERIVE,AIRS_AFS,E_GGRT,EIS,ICIS,ICIS_old,NPDES,OSHA_OIS,RCRAINFO,RMP,SEMS_CERCL,TRIS,NAICS1,TX_TCEQ_AC,NAICS2,NAICS3,NAICS4,NAICS5,ID,NAICS6,lat_merge,lon_merge,edf_source,latlon_merge_src,FIPS_CODE,CENSUS_BLOCK_CODE,HDATUM_DESC,GC_postal_code,GC_location_address,GC_location_type,GC_geocode_result,GC_geocode_attempt,GC_lat,GC_lng
110000504419,NA,ECHO/FRS,NA,Y,12211 PORT RD,ODFJELL TERMINALS (HOUSTON) INC,SEABROOK,HARRIS,TX,77586,29.605833,INTERPOLATION - DIGITAL MAP SRCE (TIGER),-95.021389,25,STORAGE TANK,TX0000004820100370,12040204,NA,NA,4925511,0,NA,NA,NA,TXD102684370,NA,NA,0,493190,RN100218411,NA,NA,NA,NA,11,NA,29.605833,-95.021389,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110000504892,NA,ECHO/FRS,NA,Y,530 N WITTER ST,KM LIQUIDS TERMINAL PASADENA,PASADENA,HARRIS,TX,77506,29.728516,NA,-95.201717,17600,CENTER OF A FACILITY OR STATION,TX0000004820100092,12040104,NA,NA,4861511,0,NA,NA,NA,TXD000634048,NA,NA,0,493190,RN100224815,NA,NA,NA,NA,12,NA,29.728516,-95.201717,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110000824671,NA,ECHO/FRS,NA,Y,9317 EAST AVENUE S,SOUTH COAST,HOUSTON,HARRIS,TX,77012,29.777898,ADDRESS MATCHING-HOUSE NUMBER,-95.261834,50,ENTRANCE POINT OF A FACILITY OR STATION,TX0000004820101218,12040104,4820101218,NA,NA,0,NA,NA,NA,0,NA,NA,7701WSTHCS9317E,424710,NA,NA,NA,NA,NA,13,NA,29.777898,-95.261834,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110000895568,NA,ECHO/FRS,NA,Y,1500 CLINTON DRIVE,GALENA PARK TERMINAL,GALENA PARK,HARRIS,TX,77547,29.728889,INTERPOLATION-PHOTO,-95.236115,25,PROCESS UNIT,TX0000004820100274,12040104,NA,NA,4169011,0,NA,NA,NA,TXD000807990,NA,NA,0,424710,RN102753670,NA,NA,NA,NA,14,NA,29.728889,-95.236115,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110000895764,NA,SEMS,NA,Y,7201 W HARDY,KOPPERS BEAZER EAST,HOUSTON,HARRIS,TX,77022,29.829,ADDRESS MATCHING-HOUSE NUMBER,-95.35516,50,ENTRANCE POINT OF A FACILITY OR STATION,NA,12040104,NA,NA,NA,0,NA,NA,NA,NA,NA,TXD020802393,NA,NA,NA,NA,NA,NA,NA,15,NA,29.829,-95.35516,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110001119922,NA,ECHO/FRS,NA,Y,12700 NORTHBOROUGH DR,STAR ENTERPRISES,HOUSTON,HARRIS,TX,77067,29.95316,ADDRESS MATCHING-HOUSE NUMBER,-95.42227,30,CENTER OF A FACILITY OR STATION,NA,12040104,NA,NA,NA,0,NA,NA,NA,TXD987995321,NA,NA,NA,424710,RN102924768,NA,NA,NA,NA,16,NA,29.95316,-95.42227,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110001867329,NA,ECHO/FRS,NA,Y,E SIDE ST HWY 3 BETWN INTX 197,SEAWAY TEXAS CITY STATION,TEXAS CITY,GALVESTON,TX,77590,29.344721,NA,-94.936111,17483,NA,TX0000004816700037,12040204,NA,NA,7720111,0,NA,NA,NA,0,NA,NA,0,424710,NA,NA,NA,NA,NA,17,NA,29.344721,-94.936111,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110001867551,NA,FRS,NA,Y,901 LIGHT COMPANY RD,DEEPWATER ELECTRIC GENERATING STATION,PASADENA,HARRIS,TX,77506,29.72186,ADDRESS MATCHING-HOUSE NUMBER,-95.22533,30,CENTER OF A FACILITY OR STATION,NA,12040104,NA,NA,"4777511,missing NEI",0,NA,TXR05DX55,NA,NA,NA,NA,NA,424710,NA,NA,NA,NA,NA,18,NA,29.72186,-95.22533,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110001867668,NA,ECHO/FRS,NA,Y,7901 WALLISVILLE RD,MAGELLAN EAST HOUSTON TERMINAL,HOUSTON,HARRIS,TX,77029,29.79926,INTERPOLATION-PHOTO,-95.282352,25,STORAGE TANK,TX0000004820100173,12040104,NA,NA,6534911,0,NA,NA,NA,TXD988001145,NA,NA,0,424710,RN104844899,NA,NA,NA,NA,19,NA,29.79926,-95.282352,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110001867739,NA,ECHO/FRS,NA,Y,2004 OLD GALVESTON RD.,WEBSTER STATION,WEBSTER,HARRIS,TX,77598,29.520281,UNKNOWN,-95.108063,35953,AIR RELEASE STACK,TX0000004820100341,12040204,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,424710,NA,NA,NA,NA,NA,20,NA,29.520281,-95.108063,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110001867775,NA,ECHO,NA,Y,1777 BATTLEGROUND ROAD,GATX TERMINAL CORPORATION,DEER PARK,HARRIS,TX,77536,29.695929,ADDRESS MATCHING-HOUSE NUMBER,-95.093199,50,ENTRANCE POINT OF A FACILITY OR STATION,TX0000004820100358,12040204,NA,NA,NA,0,0,NA,NA,TXD980808786,NA,NA,0,493110,NA,42471,0,0,0,21,0,29.695929,-95.093199,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110001869354,NA,ECHO,NA,Y,1919 CROSBY-DAYTON HIGHWAY,SOONER PIPE CROSBY YARD,CROSBY,HARRIS,TX,77532,29.92515,ADDRESS MATCHING-HOUSE NUMBER,-95.04774,30,CENTER OF A FACILITY OR STATION,TX0000004820101279,12040104,NA,NA,"6536911,missing NEI",0,0,NA,NA,TXD982550865,NA,NA,0,49319,NA,493110,213112,0,0,22,0,29.92515,-95.04774,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110002063980,NA,SEMS,NA,Y,4904 GRIGGS ROAD,CES ENVIRONMENTAL,HOUSTON,HARRIS,TX,77021-3208,29.69993,ADDRESS MATCHING-HOUSE NUMBER,-95.3429,30,CENTER OF A FACILITY OR STATION,NA,12040104,NA,NA,NA,1400018371,NA,TXR05T850,NA,NA,NA,TXD008950461,NA,NA,NA,NA,NA,NA,NA,23,NA,29.69993,-95.3429,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110002133708,NA,SEMS,NA,Y,12230 ROBIN BLVD.,GULF STATES PAINT COMPANY,HOUSTON,HARRIS,TX,77045,29.63407,ADDRESS MATCHING-HOUSE NUMBER,-95.40697,30,CENTER OF A FACILITY OR STATION,NA,12040104,NA,NA,NA,0,NA,NA,NA,NA,NA,TXD000012609,NA,NA,NA,NA,NA,NA,NA,24,NA,29.63407,-95.40697,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110002343848,NA,FRS,NA,Y,1319 RED BLUFF ROAD,CROWN CENTRAL PETROLEUM,PASADENA,HARRIS,TX,77506,29.709216,ADDRESS MATCHING-HOUSE NUMBER,-95.195398,150,PLANT ENTRANCE (GENERAL),NA,12040104,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,424710,RN100713130,NA,NA,NA,NA,25,NA,29.709216,-95.195398,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110002344222,NA,ECHO/FRS,NA,Y,400 NORTH JEFFERSON,KINDER MORGAN LIQUID TERMINALS LLC,PASADENA,HARRIS,TX,77506,29.71408,ADDRESS MATCHING-HOUSE NUMBER,-95.18261,50,ENTRANCE POINT OF A FACILITY OR STATION,TX0000004820100388,12040104,NA,NA,6616011,0,NA,NA,NA,TXR000001206,NA,NA,0,493190,RN100225986,NA,NA,NA,NA,26,NA,29.71408,-95.18261,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110002400642,NA,ECHO/FRS,NA,Y,201 MAIN DOCK ROAD,TEXAS CITY TERMINAL 1,TEXAS CITY,GALVESTON,TX,77590,29.374389,INTERPOLATION-MAP,-94.889361,400,POINT WHERE SUBSTANCE IS RELEASED,TX0000004816700011,12040204,NA,NA,NA,0,NA,NA,NA,TXD096036561,NA,NA,0,493190,RN100218767,NA,NA,NA,NA,27,NA,29.374389,-94.889361,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110002436203,NA,ECHO/FRS,NA,Y,10119 HWY 146 N,TARGA RESOURCES - MONT BELVIEU FRACTIONATOR,MONT BELVIEU,CHAMBERS,TX,77580,29.83717,ADDRESS MATCHING-HOUSE NUMBER,-94.89475,30,CENTER OF A FACILITY OR STATION,TX0000004807100010,12040203,NA,NA,5847111,0,NA,NA,NA,TXD980625974,NA,NA,0,424710,NA,NA,NA,NA,NA,28,NA,29.83717,-94.89475,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110005025418,NA,SEMS,NA,Y,1057 ELLINGTON FLD AIR FORCE BASE,ELLINGTON FIELD 147 FIGHTER WING,HOUSTON,HARRIS,TX,77034-5512,29.881106,ADDRESS MATCHING-HOUSE NUMBER,-95.428116,50,ENTRANCE POINT OF A FACILITY OR STATION,NA,12040104,NA,NA,NA,18274,NA,NA,NA,NA,NA,TX4570090007,NA,NA,NA,NA,NA,NA,NA,29,NA,29.881106,-95.428116,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110005025551,NA,SEMS,NA,Y,1850 OLD SPANISH TRAIL DRIVE,3457TH MEDICAL TRAINING CENTER,HOUSTON,HARRIS,TX,77054,29.69653,ADDRESS MATCHING-HOUSE NUMBER,-95.39723,50,ENTRANCE POINT OF A FACILITY OR STATION,NA,12040104,NA,NA,NA,0,NA,NA,NA,NA,NA,TX4210090003,NA,NA,NA,NA,NA,NA,NA,30,NA,29.69653,-95.39723,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110005025766,NA,SEMS,NA,Y,6608 HORNWOOD,US ENVIRONMENTAL PROTECTION AGENCY,HOUSTON,HARRIS,TX,77074,29.70884,ADDRESS MATCHING-HOUSE NUMBER,-95.49888,50,ENTRANCE POINT OF A FACILITY OR STATION,NA,12040104,NA,NA,NA,0,NA,NA,NA,NA,NA,TX7140090005,NA,NA,NA,NA,NA,NA,NA,31,NA,29.70884,-95.49888,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110005068988,NA,SEMS,NA,Y,8102 BRANIFF ST,CONDOR SERVICES,HOUSTON,HARRIS,TX,77061,29.63442,ADDRESS MATCHING-HOUSE NUMBER,-95.27563,30,CENTER OF A FACILITY OR STATION,NA,12040104,NA,NA,NA,0,NA,NA,NA,NA,NA,TXD098203979,NA,NA,NA,NA,NA,NA,NA,32,NA,29.63442,-95.27563,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110005107516,NA,ECHO,NA,Y,13600 HATFIELD ROAD,HOUSTON TUBULAR,PEARLAND,BRAZORIA,TX,77581,29.577749,ADDRESS MATCHING-HOUSE NUMBER,-95.308101,50,ENTRANCE POINT OF A FACILITY OR STATION,0,12040204,NA,NA,NA,0,0,NA,NA,TXD982552002,NA,NA,0,49319,NA,0,0,0,0,33,0,29.577749,-95.308101,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110005120083,NA,ECHO,NA,Y,11019 BRIAR FOREST DR,STAR ENTERPRISES,HOUSTON,HARRIS,TX,77042,29.74787,ADDRESS MATCHING-HOUSE NUMBER,-95.57166,30,CENTER OF A FACILITY OR STATION,0,12040104,NA,NA,NA,0,0,NA,NA,TXD987994258,NA,NA,0,42471,NA,0,0,0,0,34,0,29.74787,-95.57166,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110005120476,NA,ECHO,NA,Y,5910 WEST LOOP S,STAR ENTERPRISES,BELLAIRE,HARRIS,TX,77401,29.982427,ADDRESS MATCHING-HOUSE NUMBER,-95.50815,18650,PLANT ENTRANCE (GENERAL),0,12040102,NA,NA,NA,0,0,NA,NA,TXD987993482,NA,NA,0,42471,NA,0,0,0,0,35,0,29.982427,-95.50815,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110005120966,NA,ECHO,NA,Y,24549 LOOP 494,MOTIVA ENTERPRISES LLC,KINGWOOD,HARRIS,TX,77339,30.04514,ADDRESS MATCHING-HOUSE NUMBER,-95.249594,50,ENTRANCE POINT OF A FACILITY OR STATION,0,12040101,NA,NA,NA,0,0,NA,NA,TXD987995255,NA,NA,0,42471,NA,0,0,0,0,36,0,30.04514,-95.249594,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110005129100,NA,ECHO,NA,Y,9322 BISSONNET,BISSONNET EXXON 62017,HOUSTON,HARRIS,TX,77074,29.67605,ADDRESS MATCHING-HOUSE NUMBER,-95.54054,30,CENTER OF A FACILITY OR STATION,0,12040104,NA,NA,NA,0,0,NA,NA,TXD988027884,NA,NA,0,42471,NA,0,0,0,0,37,0,29.67605,-95.54054,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110005139251,NA,ECHO,NA,Y,1015 LAKESIDE DRIVE,"K-SOLV, LP TERMINAL FACILITY",CHANNELVIEW,HARRIS,TX,77530,29.76785,ADDRESS MATCHING-HOUSE NUMBER,-95.10361,30,CENTER OF A FACILITY OR STATION,06000000482016E196,12040104,NA,NA,NA,3400037069,0,NA,NA,TXD988044806,NA,TXD988044806,0,49319,NA,999999,0,0,0,38,0,29.76785,-95.10361,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110005162983,NA,ECHO/FRS,NA,Y,900 N MAIN STREET S,SAFETY-KLEEN SYSTEMS GALENA PARK,GALENA PARK,HARRIS,TX,77547,29.7383,ADDRESS MATCHING-HOUSE NUMBER,-95.24023,50,ENTRANCE POINT OF A FACILITY OR STATION,0,12040104,NA,NA,NA,0,NA,TXG110854,NA,TXR000000786,NA,NA,0,424710,RN101719367,NA,NA,NA,NA,39,NA,29.7383,-95.24023,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110005175764,NA,ECHO,NA,Y,8503 CITY PARK E,CITY PARK EAST INDUSTRIAL INVESTCO,HOUSTON,HARRIS,TX,77013,29.80243,ADDRESS MATCHING-HOUSE NUMBER,-95.27311,30,CENTER OF A FACILITY OR STATION,0,12040104,NA,NA,NA,0,0,NA,NA,TXR000018911,NA,NA,0,49319,NA,0,0,0,0,40,0,29.80243,-95.27311,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110005179975,NA,ECHO/FRS,NA,Y,850 S LYNCHBURG RD,HOUSTON MARINE SERVICE INC.,BAYTOWN,HARRIS,TX,77520,29.76691,ADDRESS MATCHING-HOUSE NUMBER,-95.07114,50,ENTRANCE POINT OF A FACILITY OR STATION,0,12040104,NA,NA,"9134511,missing NEI",0,NA,NA,NA,0,NA,NA,77520HSTNM85SLY,424710,RN103771879,NA,NA,NA,NA,41,NA,29.76691,-95.07114,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110005181524,NA,ECHO/FRS,NA,Y,200 ATLANTIC PIPELINE RD,CEDAR MARINE TERMINALS,BAYTOWN,CHAMBERS,TX,77523,29.67143,ADDRESS MATCHING-HOUSE NUMBER,-94.92638,30,CENTER OF A FACILITY OR STATION,0,12040203,NA,NA,NA,0,NA,TXR05AL10,NA,TXR000026989,NA,NA,0,424710,RN105598643,NA,NA,NA,NA,42,NA,29.67143,-94.92638,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110005184601,NA,ECHO/FRS,NA,Y,10020 BAYPORT BLVD,INTERGULF CORPORATION,PASADENA,HARRIS,TX,77507,29.61061,ADDRESS MATCHING-HOUSE NUMBER,-95.05692,30,CENTER OF A FACILITY OR STATION,0,12040204,NA,NA,NA,0,NA,NA,NA,TXR000031286,NA,NA,0,493190,RN101517852,NA,NA,NA,NA,43,NA,29.61061,-95.05692,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110006129723,NA,ECHO/FRS,NA,Y,745 HIGHWAY 6 S,EXXON USA 60033,HOUSTON,HARRIS,TX,77079,29.77573,ADDRESS MATCHING-HOUSE NUMBER,-95.64419,30,CENTER OF A FACILITY OR STATION,NA,12040104,NA,NA,NA,0,NA,NA,NA,TXD988029252,NA,NA,NA,424710,RN101635910,NA,NA,NA,NA,44,NA,29.77573,-95.64419,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110006452310,NA,FRS,NA,Y,17435 NORTH FREEWAY,STAR ENTERPRISES INC,HOUSTON,HARRIS,TX,77090,30.02042,ADDRESS MATCHING-HOUSE NUMBER,-95.42927,30,CENTER OF A FACILITY OR STATION,NA,12040102,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,424710,RN102807252,NA,NA,NA,NA,45,NA,30.02042,-95.42927,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110006452374,NA,ECHO,NA,Y,585 S MASON,MASON RD EXXON 60115,KATY,HARRIS,TX,77450,29.7751,ADDRESS MATCHING-HOUSE NUMBER,-95.75167,30,CENTER OF A FACILITY OR STATION,0,12040104,NA,NA,NA,0,0,NA,NA,TXD988018727,NA,NA,0,42471,NA,0,0,0,0,46,0,29.7751,-95.75167,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110007196809,NA,ECHO/FRS,NA,Y,12325 NORTH FREEWAY,US OIL NORTH HOUSTON TERMINAL,HOUSTON,HARRIS,TX,77060,29.94743,ADDRESS MATCHING-HOUSE NUMBER,-95.41679,30,CENTER OF A FACILITY OR STATION,TX0000004820100157,12040104,4820100157,NA,NA,0,NA,NA,NA,TXD087611927,NA,NA,0,424710,RN100219260,NA,NA,NA,NA,47,NA,29.94743,-95.41679,facilities_v2021Jul28_HUC8pts.shp,facilities_v2021Jul28_HUC8pts.shp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
