OBJECTID,agency_cd,site_no,station_nm,site_tp_cd,lat_va,long_va,coord_acy_cd,coord_datum_cd,dec_lat_va,dec_long_va,coord_acy_cd_1,dec_coord_datum_cd,coord_meth_cd,huc_cd,peak_begin_date,peak_end_date,peak_count_nu
42,USGS,8068500,"Spring Ck nr Spring, TX",ST,300637,952610,F,NAD27,30.110495170000000,-95.436327500000004,F,NAD83,M,12040102,1929-05-30,2020-06-25,83
43,USGS,8068700,"Cypress Ck at Sharp Rd nr Hockley, TX",ST,295515,955024,F,NAD27,29.921058230000000,-95.840228999999994,F,NAD83,M,12040102,1979-09-21,2020-09-23,39
44,USGS,8068720,"Cypress Ck at Katy-Hockley Rd nr Hockley, TX",ST,295700,954829,F,NAD27,29.950223699999999,-95.808283500000002,F,NAD83,M,12040102,1976-06-02,2020-09-23,45
45,USGS,8068740,"Cypress Ck at House-Hahl Rd nr Cypress, TX",ST,295732,954303,F,NAD27,29.959112000000001,-95.717724899999993,F,NAD83,M,12040102,1937,2020-09-23,47
46,USGS,8068780,"Little Cypress Ck nr Cypress, TX",ST,300057,954150,F,NAD27,30.016054369999999,-95.697446299999996,F,NAD83,M,12040102,1983-05-22,2020-09-23,38
47,USGS,8068800,"Cypress Ck at Grant Rd nr Cypress, TX",ST,295824,953554,F,NAD27,29.973555659999999,-95.598554500000006,F,NAD83,M,12040102,1983-05-22,2020-09-23,38
48,USGS,8068900,"Cypress Ck at Stuebner-Airline Rd nr Westfield, TX",ST,300023,953042,F,NAD27,30.006609940000001,-95.511885000000007,F,NAD83,M,12040102,1983-05-21,2020-09-23,38
49,USGS,8069000,"Cypress Ck nr Westfield, TX",ST,300208,952543,F,NAD27,30.035775300000001,-95.428826999999998,F,NAD83,M,12040102,1929-05-31,2020-09-23,78
50,USGS,8069500,"W Fk San Jacinto Rv nr Humble, TX",ST,300137,951528,F,NAD27,30.027163850000001,-95.257988800000007,F,NAD83,M,12040101,1929-05-31,2020-09-23,36
51,USGS,8069800,"E Fk San Jacinto Rv at SH 150 nr Coldspring, TX",ST,303401,951129,S,NAD83,30.566944440000000,-95.191388900000007,S,NAD83,N,12040103,2020-06-26,2020-06-26,1
52,USGS,8070000,"E Fk San Jacinto Rv nr Cleveland, TX",ST,302011,950614,F,NAD27,30.336598089999999,-95.104099899999994,F,NAD83,M,12040103,1935-05-05,2020-06-27,82
53,USGS,8070200,"E Fk San Jacinto Rv nr New Caney, TX",ST,300843,950729,5,NAD83,30.145230560000002,-95.124613900000000,5,NAD83,N,12040103,1973-06,2020-06-28,37
54,USGS,8070500,"Caney Ck nr Splendora, TX",ST,301534,951808,F,NAD27,30.259657890000000,-95.302436099999994,F,NAD83,M,12040103,1944-02-15,2020-06-25,77
55,USGS,8071000,"Peach Ck at Splendora, TX",ST,301357,951005,F,NAD27,30.232713700000001,-95.168266200000005,F,NAD83,M,12040103,1940,2020-06-26,57
56,USGS,8071280,"Luce Bayou abv Lk Houston nr Huffman, TX",ST,300634,950335,F,NAD27,30.109660190000000,-95.059929400000001,F,NAD83,M,12040103,1985-03-22,2019-10-31,36
57,USGS,8071500,"San Jacinto Rv nr Huffman, TX",ST,295940,950800,F,NAD27,29.994663840000001,-95.133541300000005,F,NAD83,M,12040101,1929,1953-05-19,18
58,USGS,8072000,"Lk Houston nr Sheldon, TX",LK,295458,950828,F,NAD27,29.916333160000001,-95.141319800000005,F,NAD83,M,12040101,--,--,0
59,USGS,8072050,"San Jacinto Rv nr Sheldon, TX",ST,295234,950537,F,NAD27,29.876334260000000,-95.093818900000002,F,NAD83,M,12040104,1992-03-05,2020-09-22,29
60,USGS,8072300,"Buffalo Bayou nr Katy, TX",ST,294435,954824,F,NAD27,29.743286640000001,-95.806895100000006,F,NAD83,M,12040104,1978-01-19,2020-06-25,43
61,USGS,8072350,"Buffalo Bayou nr Fulshear, TX",ST,294322,954601,F,NAD27,29.723009200000000,-95.767171800000000,F,NAD83,M,12040104,1986-06-08,2020-06-25,35
62,USGS,8072500,"Barker Res nr Addicks, TX",LK,294611,953849,F,NAD27,29.769951290000002,-95.647168199999996,F,NAD83,M,12040104,--,--,0
63,USGS,8072600,"Buffalo Bayou at State Hwy 6 nr Addicks, TX",ST,294610,953835,1,NAD83,29.769380559999998,-95.643166699999995,1,NAD83,D,12040104,2011-01-10,2020-10-01,11
64,USGS,8072680,"S Mayde Ck at Heathergold Dr nr Addicks, TX",ST,294818,954235,1,NAD83,29.805111100000001,-95.709611100000004,1,NAD83,N,12040104,2016-04-18,2020-06-25,5
65,USGS,8072700,"S Mayde Ck nr Addicks, TX",ST,294803,954132,F,NAD27,29.801061590000000,-95.692447000000001,F,NAD83,M,12040104,1974-09-14,2015-05-26,36
66,USGS,8072730,"Bear Ck nr Barker, TX",ST,294950,954112,F,NAD27,29.830782800000001,-95.686891200000005,F,NAD83,M,12040104,1978-01-19,2020-06-25,43
67,USGS,8072760,"Langham Ck at W Little York Rd nr Addicks, TX",ST,295201,953847,F,NAD27,29.867170349999999,-95.646612000000005,F,NAD83,M,12040104,1978-06-07,2020-06-25,43
68,USGS,8072800,"Langham Ck nr Addicks, TX",ST,295008,953732,F,NAD27,29.835782399999999,-95.625778299999993,F,NAD83,M,12040104,1974-09-14,2020-06-25,42
69,USGS,8073000,"Addicks Res nr Addicks, TX",LK,294728,953724,F,NAD27,29.791339390000001,-95.623556300000004,F,NAD83,M,12040104,--,--,0
70,USGS,8073100,"Langham Ck at Addicks Res Outflow nr Addicks, TX",ST,294725,953726,S,NAD83,29.790277780000000,-95.623888899999997,S,NAD83,D,12040104,2014-05-28,2020-06-25,7
71,USGS,8073500,"Buffalo Bayou nr Addicks, TX",ST,294542,953620,F,NAD27,29.761895800000001,-95.605778200000003,F,NAD83,M,12040104,1945-08-29,2020-10-01,77
72,USGS,8073600,"Buffalo Bayou at W Belt Dr, Houston, TX",ST,294543,953327,F,NAD27,29.762173359999998,-95.557721299999997,F,NAD83,M,12040104,1972-03-20,2020-09-22,49
73,USGS,8073700,"Buffalo Bayou at Piney Point, TX",ST,294448,953124,F,NAD27,29.746895899999998,-95.523553800000002,F,NAD83,M,12040104,1964-03-07,2020-09-22,56
74,USGS,8073898,"Neimans Bayou at IH 10, Houston, TX",ST,294700,952826,S,NAD83,29.783333330000001,-95.473888900000006,S,NAD83,G,12040104,--,--,0
75,USGS,8074000,"Buffalo Bayou at Houston, TX",ST,294536,952430,F,NAD27,29.760228290000001,-95.408550500000004,F,NAD83,M,12040104,1929-05-31,2020-09-22,86
76,USGS,8074020,"Whiteoak Bayou at Alabonson Rd, Houston, TX",ST,295214,952849,F,NAD27,29.870780730000000,-95.480496099999996,F,NAD83,M,12040104,1984-07-18,2020-09-22,37
77,USGS,8074150,"Cole Ck at Deihl Rd, Houston, TX",ST,295104,952916,F,NAD27,29.851336900000000,-95.487996499999994,F,NAD83,M,12040104,1964-05-31,2020-09-22,54
78,USGS,8074250,"Brickhouse Gully at Costa Rica St, Houston, TX",ST,294940,952809,F,NAD27,29.828004239999999,-95.469385000000003,F,NAD83,M,12040104,1965-09-22,2020-09-22,50
79,USGS,8074500,"Whiteoak Bayou at Houston, TX",ST,294630,952349,F,NAD27,29.775227770000001,-95.397161199999999,F,NAD83,M,12040104,1929-05-31,2020-09-22,86
80,USGS,8074540,"Little Whiteoak Bayou at Trimble St, Houston, TX",ST,294734,952205,S,NAD83,29.792777780000002,-95.368055600000005,S,NAD83,G,12040104,1981-08-31,2020-09-22,30
81,USGS,8074598,"Whiteoak Bayou at Main St, Houston, TX",ST,294559,952130,F,NAD27,29.766616760000002,-95.358548999999996,F,NAD83,M,12040104,1993-03-01,2020-09-22,27
82,USGS,8074600,"Buffalo Bayou at Main St, Houston, TX",ST,294554,952132,F,NAD27,29.765227899999999,-95.359104599999995,F,NAD83,M,12040104,1993-03-01,1994-08-22,2
83,USGS,8074610,"Buffalo Bayou at McKee St, Houston, TX",ST,294557,952107,F,NAD27,29.766061189999999,-95.352159999999998,F,NAD83,M,12040104,1993-03-01,1998-11-13,7
84,USGS,8074710,"Buffalo Bayou at Turning Basin, Houston, TX",ST,294457,951727,F,NAD27,29.749394769999999,-95.291047300000002,F,NAD83,M,12040104,1987-06-11,2020-09-22,32
85,USGS,8074760,"Brays Bayou at Alief, TX",ST,294232,953458,F,NAD27,29.709119699999999,-95.582999999999998,F,NAD83,M,12040104,1977-04-20,2020-09-21,43
86,USGS,8074800,"Keegans Bayou at Roark Rd nr Houston, TX",ST,293923,953343,F,NAD27,29.656621359999999,-95.562166399999995,F,NAD83,M,12040104,1964-12-10,2020-09-21,56
87,USGS,8074810,"Brays Bayou at Gessner Dr, Houston, TX",ST,294021,953141,F,NAD27,29.672731700000000,-95.528276500000004,F,NAD83,M,12040104,1977-04-20,2020-09-21,44
88,USGS,8075000,"Brays Bayou at Houston, TX",ST,294149,952443,F,NAD27,29.697174690000001,-95.412161999999995,F,NAD83,M,12040104,1919-06,2020-09-22,87
89,USGS,8075110,"Brays Bayou at MLK Jr Blvd, Houston, TX",ST,294251,952020,S,NAD83,29.714166670000001,-95.338888900000001,S,NAD83,D,12040104,2006-10-16,2020-09-22,14
90,USGS,8075400,"Sims Bayou at Hiram Clarke St, Houston, TX",ST,293707,952645,F,NAD27,29.618843989999998,-95.446052199999997,F,NAD83,M,12040104,1964-12-10,2020-09-21,56
91,USGS,8075500,"Sims Bayou at Houston, TX",ST,294027,951721,F,NAD27,29.674396869999999,-95.289380699999995,F,NAD83,M,12040104,1953-05-18,2020-09-22,68
92,USGS,8075605,"Berry Bayou at Nevada St, Houston, TX",ST,293923,951344,S,NAD27,29.656619150000001,-95.229101099999994,S,NAD83,D,12040104,2007-08-16,2020-05-15,14
93,USGS,8075650,"Berry Bayou at Forest Oaks St, Houston, TX",ST,294035,951437,F,NAD27,29.676618749999999,-95.243823800000001,F,NAD83,M,12040104,1964-09-14,2006-06-19,43
94,USGS,8075730,"Vince Bayou at Pasadena, TX",ST,294140,951258,F,NAD27,29.694673630000000,-95.216323000000003,F,NAD83,M,12040104,1972-05-12,2020-05-15,49
95,USGS,8075763,"Hunting Bayou at Hoffman St, Houston, TX",ST,294831,951847,S,NAD27,29.808837449999999,-95.313269599999998,S,NAD83,D,12040104,2007-08-16,2020-09-23,13
96,USGS,8075770,"Hunting Bayou at IH 610, Houston, TX",ST,294735,951604,F,NAD27,29.793282170000001,-95.267990699999999,F,NAD83,M,12040104,1964-04-17,2020-09-23,57
97,USGS,8075780,"Greens Bayou at Cutten Rd nr Houston, TX",ST,295656,953110,F,NAD27,29.949111779999999,-95.519663300000005,F,NAD83,M,12040104,1965-02-16,2019-10-29,56
98,USGS,8075900,"Greens Bayou nr US Hwy 75 nr Houston, TX",ST,295724,952504,F,NAD27,29.956888859999999,-95.417993600000003,F,NAD83,M,12040104,1966-04-14,2020-09-22,55
99,USGS,8076000,"Greens Bayou nr Houston, TX",ST,295505,951824,F,NAD27,29.918278399999998,-95.306879600000002,F,NAD83,M,12040104,1953-05-18,2020-09-23,68
100,USGS,8076005,"Greens Bayou Trib at Smith Rd nr Houston, TX",ST,295550,951715,S,NAD83,29.930555559999998,-95.287499999999994,S,NAD83,G,12040104,--,--,0
101,USGS,8076180,"Garners Bayou nr Humble, TX",ST,295601,951402,5,NAD27,29.933860889999998,-95.233960800000006,5,NAD83,D,12040104,1987-07-09,2020-09-23,34
102,USGS,8076500,"Halls Bayou at Houston, TX",ST,295142,952005,F,NAD27,29.861891430000000,-95.334936499999998,F,NAD83,M,12040104,1953-05-18,2020-09-23,68
103,USGS,8076700,"Greens Bayou at Ley Rd, Houston, TX",ST,295013,951359,F,NAD27,29.837169500000002,-95.233267100000006,F,NAD83,M,12040104,1972-03-21,2020-09-23,48
104,USGS,8076997,"Clear Ck at Mykawa St nr Pearland, TX",ST,293548,951750,S,NAD27,29.596899100000002,-95.297436599999997,S,NAD83,D,12040204,2006-10-16,2020-09-22,14
105,USGS,8077000,"Clear Ck nr Pearland, TX",ST,293550,951711,F,NAD27,29.597454580000001,-95.286602900000005,F,NAD83,M,12040204,1946-09-28,1994-06-25,46
106,USGS,8077600,"Clear Ck nr Friendswood, TX",ST,293102,951042,F,NAD27,29.517455170000002,-95.178544000000002,F,NAD83,M,12040204,1972-05-13,2020-09-22,43
107,USGS,8077637,"Clear Lk Second Outflow Channel at Kemah, TX",ST,293315,950132,F,NAD27,29.554396300000001,-95.025761599999996,F,NAD83,M,12040204,--,--,0
108,USGS,8077658,"TX City Pump Sta at Texas City, TX",ST,292126,945529,F,NAD27,29.357456880000001,-94.924922800000004,F,NAD83,M,12040204,--,--,0
109,USGS,8077695,"Highland Bayou nr Hitchcock, TX",ST,292136,950222,F,NAD27,29.360234800000001,-95.039648900000003,F,NAD83,M,12040204,1998-11-14,1998-11-14,1
110,USGS,8077740,"La Marque Levee Pump Sta nr La Marque, TX",ST,292044,945747,F,NAD27,29.345790460000000,-94.963257200000001,F,NAD83,M,12040204,--,--,0
111,USGS,8077752,"La Marque Levee Gravity Drain nr La Marque, TX",ST,292026,945700,F,NAD27,29.340790660000000,-94.950201199999995,F,NAD83,M,12040204,,,
112,USGS,8078000,"Chocolate Bayou nr Alvin, TX",ST,292217,951922,S,NAD27,29.371543490000001,-95.323047599999995,S,NAD83,G,12040204,1939-07-14,2019-10-22,75
113,USGS,8078080,"Bastrop Bayou at CR 288 nr Lake Jackson, TX",ST,290407,952538,5,NAD83,29.068486100000001,-95.427175000000005,5,NAD83,N,12040205,2020-01-26,2020-01-26,1
114,USGS,8078930,"Oyster Ck at CR 42 nr Rosharon, TX",ST,292228,953138,5,NAD83,29.374524999999998,-95.527286099999998,5,NAD83,N,12040205,--,--,0
115,USGS,8078940,"Oyster Ck at CR 34 nr Angleton, TX",ST,291513,953031,5,NAD83,29.253613890000000,-95.508591699999997,5,NAD83,N,12040205,--,--,0
116,USGS,8079000,"Oyster Ck nr Angleton, TX",ST,290930,952832,F,NAD27,29.158577350000002,-95.475775299999995,F,NAD83,M,12040205,1945-04-02,1980-01-23,36
117,USGS,8079005,"Oyster Ck at CR 290 nr Angleton, TX",ST,290731,952853,5,NAD83,29.125377780000001,-95.481372199999996,5,NAD83,N,12040205,--,--,0
118,USGS,8079010,"Oyster Ck at FM 2004 nr Lake Jackson, TX",ST,290313,952745,S,NAD83,29.053611100000001,-95.462500000000006,S,NAD83,N,12040205,2020-01-27,2020-01-27,1
