X,Y,REGISTRY_ID,Previous_S,Source,Location_S,New_,LOCATION_ADDRESS,PRIMARY_NAME,CITY_NAME,COUNTY_NAME,STATE_CODE,ZIP_CODE,LATITUDE83,FAC_COLLEC,LONGITUDE8,FAC_ACCURA,REF_POINT_DESC,AIR,FAC_DERIVE,AIRS_AFS,E_GGRT,EIS,ICIS,ICIS_old,NPDES,OSHA_OIS,RCRAINFO,RMP,SEMS_CERCL,TRIS,NAICS1,TX_TCEQ_AC,NAICS2,NAICS3,NAICS4,NAICS5,ID,NAICS6,lat_merge,lon_merge,lon_match,lat_match
-95.021389,29.605833,110000504419,,ECHO/FRS,,Y,12211 PORT RD,ODFJELL TERMINALS (HOUSTON) INC,SEABROOK,HARRIS,TX,77586,29.605833,INTERPOLATION - DIGITAL MAP SRCE (TIGER),-95.021389,25,STORAGE TANK,TX0000004820100370,12040204,,,4925511,0,,,,TXD102684370,,,0,493190,RN100218411,,,,,11,,29.605833,-95.021389,1,1
-95.201717,29.728516,110000504892,,ECHO/FRS,,Y,530 N WITTER ST,KM LIQUIDS TERMINAL PASADENA,PASADENA,HARRIS,TX,77506,29.728516,,-95.201717,17600,CENTER OF A FACILITY OR STATION,TX0000004820100092,12040104,,,4861511,0,,,,TXD000634048,,,0,493190,RN100224815,,,,,12,,29.728516,-95.201717,1,1
-95.261834,29.777898,110000824671,,ECHO/FRS,,Y,9317 EAST AVENUE S,SOUTH COAST,HOUSTON,HARRIS,TX,77012,29.777898,ADDRESS MATCHING-HOUSE NUMBER,-95.261834,50,ENTRANCE POINT OF A FACILITY OR STATION,TX0000004820101218,12040104,4820101218,,,0,,,,0,,,7701WSTHCS9317E,424710,,,,,,13,,29.777898,-95.261834,1,1
-95.236115,29.728889,110000895568,,ECHO/FRS,,Y,1500 CLINTON DRIVE,GALENA PARK TERMINAL,GALENA PARK,HARRIS,TX,77547,29.728889,INTERPOLATION-PHOTO,-95.236115,25,PROCESS UNIT,TX0000004820100274,12040104,,,4169011,0,,,,TXD000807990,,,0,424710,RN102753670,,,,,14,,29.728889,-95.236115,1,1
-95.35516,29.829,110000895764,,SEMS,,Y,7201 W HARDY,KOPPERS BEAZER EAST,HOUSTON,HARRIS,TX,77022,29.829,ADDRESS MATCHING-HOUSE NUMBER,-95.35516,50,ENTRANCE POINT OF A FACILITY OR STATION,,12040104,,,,0,,,,,,TXD020802393,,,,,,,,15,,29.829,-95.35516,1,1
-95.42227,29.95316,110001119922,,ECHO/FRS,,Y,12700 NORTHBOROUGH DR,STAR ENTERPRISES,HOUSTON,HARRIS,TX,77067,29.95316,ADDRESS MATCHING-HOUSE NUMBER,-95.42227,30,CENTER OF A FACILITY OR STATION,,12040104,,,,0,,,,TXD987995321,,,,424710,RN102924768,,,,,16,,29.95316,-95.42227,1,1
-94.936111,29.344721,110001867329,,ECHO/FRS,,Y,E SIDE ST HWY 3 BETWN INTX 197,SEAWAY TEXAS CITY STATION,TEXAS CITY,GALVESTON,TX,77590,29.344721,,-94.936111,17483,,TX0000004816700037,12040204,,,7720111,0,,,,0,,,0,424710,,,,,,17,,29.344721,-94.936111,1,1
-95.22533,29.72186,110001867551,,FRS,,Y,901 LIGHT COMPANY RD,DEEPWATER ELECTRIC GENERATING STATION,PASADENA,HARRIS,TX,77506,29.72186,ADDRESS MATCHING-HOUSE NUMBER,-95.22533,30,CENTER OF A FACILITY OR STATION,,12040104,,,"4777511,missing NEI",0,,TXR05DX55,,,,,,424710,,,,,,18,,29.72186,-95.22533,1,1
-95.282352,29.79926,110001867668,,ECHO/FRS,,Y,7901 WALLISVILLE RD,MAGELLAN EAST HOUSTON TERMINAL,HOUSTON,HARRIS,TX,77029,29.79926,INTERPOLATION-PHOTO,-95.282352,25,STORAGE TANK,TX0000004820100173,12040104,,,6534911,0,,,,TXD988001145,,,0,424710,RN104844899,,,,,19,,29.79926,-95.282352,1,1
-95.108063,29.520281,110001867739,,ECHO/FRS,,Y,2004 OLD GALVESTON RD.,WEBSTER STATION,WEBSTER,HARRIS,TX,77598,29.520281,UNKNOWN,-95.108063,35953,AIR RELEASE STACK,TX0000004820100341,12040204,,,,0,,,,0,,,0,424710,,,,,,20,,29.520281,-95.108063,1,1
-95.093199,29.695929,110001867775,,ECHO,,Y,1777 BATTLEGROUND ROAD,GATX TERMINAL CORPORATION,DEER PARK,HARRIS,TX,77536,29.695929,ADDRESS MATCHING-HOUSE NUMBER,-95.093199,50,ENTRANCE POINT OF A FACILITY OR STATION,TX0000004820100358,12040204,,,,0,0,,,TXD980808786,,,0,493110,,42471,0,0,0,21,0,29.695929,-95.093199,1,1
-95.04774,29.92515,110001869354,,ECHO,,Y,1919 CROSBY-DAYTON HIGHWAY,SOONER PIPE CROSBY YARD,CROSBY,HARRIS,TX,77532,29.92515,ADDRESS MATCHING-HOUSE NUMBER,-95.04774,30,CENTER OF A FACILITY OR STATION,TX0000004820101279,12040104,,,"6536911,missing NEI",0,0,,,TXD982550865,,,0,49319,,493110,213112,0,0,22,0,29.92515,-95.04774,1,1
-95.3429,29.69993,110002063980,,SEMS,,Y,4904 GRIGGS ROAD,CES ENVIRONMENTAL,HOUSTON,HARRIS,TX,77021-3208,29.69993,ADDRESS MATCHING-HOUSE NUMBER,-95.3429,30,CENTER OF A FACILITY OR STATION,,12040104,,,,1400018371,,TXR05T850,,,,TXD008950461,,,,,,,,23,,29.69993,-95.3429,1,1
-95.40697,29.63407,110002133708,,SEMS,,Y,12230 ROBIN BLVD.,GULF STATES PAINT COMPANY,HOUSTON,HARRIS,TX,77045,29.63407,ADDRESS MATCHING-HOUSE NUMBER,-95.40697,30,CENTER OF A FACILITY OR STATION,,12040104,,,,0,,,,,,TXD000012609,,,,,,,,24,,29.63407,-95.40697,1,1
-95.195398,29.709216,110002343848,,FRS,,Y,1319 RED BLUFF ROAD,CROWN CENTRAL PETROLEUM,PASADENA,HARRIS,TX,77506,29.709216,ADDRESS MATCHING-HOUSE NUMBER,-95.195398,150,PLANT ENTRANCE (GENERAL),,12040104,,,,0,,,,,,,,424710,RN100713130,,,,,25,,29.709216,-95.195398,1,1
-95.18261,29.71408,110002344222,,ECHO/FRS,,Y,400 NORTH JEFFERSON,KINDER MORGAN LIQUID TERMINALS LLC,PASADENA,HARRIS,TX,77506,29.71408,ADDRESS MATCHING-HOUSE NUMBER,-95.18261,50,ENTRANCE POINT OF A FACILITY OR STATION,TX0000004820100388,12040104,,,6616011,0,,,,TXR000001206,,,0,493190,RN100225986,,,,,26,,29.71408,-95.18261,1,1
-94.889361,29.374389,110002400642,,ECHO/FRS,,Y,201 MAIN DOCK ROAD,TEXAS CITY TERMINAL 1,TEXAS CITY,GALVESTON,TX,77590,29.374389,INTERPOLATION-MAP,-94.889361,400,POINT WHERE SUBSTANCE IS RELEASED,TX0000004816700011,12040204,,,,0,,,,TXD096036561,,,0,493190,RN100218767,,,,,27,,29.374389,-94.889361,1,1
-94.89475,29.83717,110002436203,,ECHO/FRS,,Y,10119 HWY 146 N,TARGA RESOURCES - MONT BELVIEU FRACTIONATOR,MONT BELVIEU,CHAMBERS,TX,77580,29.83717,ADDRESS MATCHING-HOUSE NUMBER,-94.89475,30,CENTER OF A FACILITY OR STATION,TX0000004807100010,12040203,,,5847111,0,,,,TXD980625974,,,0,424710,,,,,,28,,29.83717,-94.89475,1,1
-95.428116,29.881106,110005025418,,SEMS,,Y,1057 ELLINGTON FLD AIR FORCE BASE,ELLINGTON FIELD 147 FIGHTER WING,HOUSTON,HARRIS,TX,77034-5512,29.881106,ADDRESS MATCHING-HOUSE NUMBER,-95.428116,50,ENTRANCE POINT OF A FACILITY OR STATION,,12040104,,,,18274,,,,,,TX4570090007,,,,,,,,29,,29.881106,-95.428116,1,1
-95.39723,29.69653,110005025551,,SEMS,,Y,1850 OLD SPANISH TRAIL DRIVE,3457TH MEDICAL TRAINING CENTER,HOUSTON,HARRIS,TX,77054,29.69653,ADDRESS MATCHING-HOUSE NUMBER,-95.39723,50,ENTRANCE POINT OF A FACILITY OR STATION,,12040104,,,,0,,,,,,TX4210090003,,,,,,,,30,,29.69653,-95.39723,1,1
-95.49888,29.70884,110005025766,,SEMS,,Y,6608 HORNWOOD,US ENVIRONMENTAL PROTECTION AGENCY,HOUSTON,HARRIS,TX,77074,29.70884,ADDRESS MATCHING-HOUSE NUMBER,-95.49888,50,ENTRANCE POINT OF A FACILITY OR STATION,,12040104,,,,0,,,,,,TX7140090005,,,,,,,,31,,29.70884,-95.49888,1,1
-95.27563,29.63442,110005068988,,SEMS,,Y,8102 BRANIFF ST,CONDOR SERVICES,HOUSTON,HARRIS,TX,77061,29.63442,ADDRESS MATCHING-HOUSE NUMBER,-95.27563,30,CENTER OF A FACILITY OR STATION,,12040104,,,,0,,,,,,TXD098203979,,,,,,,,32,,29.63442,-95.27563,1,1
-95.308101,29.577749,110005107516,,ECHO,,Y,13600 HATFIELD ROAD,HOUSTON TUBULAR,PEARLAND,BRAZORIA,TX,77581,29.577749,ADDRESS MATCHING-HOUSE NUMBER,-95.308101,50,ENTRANCE POINT OF A FACILITY OR STATION,0,12040204,,,,0,0,,,TXD982552002,,,0,49319,,0,0,0,0,33,0,29.577749,-95.308101,1,1
-95.57166,29.74787,110005120083,,ECHO,,Y,11019 BRIAR FOREST DR,STAR ENTERPRISES,HOUSTON,HARRIS,TX,77042,29.74787,ADDRESS MATCHING-HOUSE NUMBER,-95.57166,30,CENTER OF A FACILITY OR STATION,0,12040104,,,,0,0,,,TXD987994258,,,0,42471,,0,0,0,0,34,0,29.74787,-95.57166,1,1
-95.50815,29.982427,110005120476,,ECHO,,Y,5910 WEST LOOP S,STAR ENTERPRISES,BELLAIRE,HARRIS,TX,77401,29.982427,ADDRESS MATCHING-HOUSE NUMBER,-95.50815,18650,PLANT ENTRANCE (GENERAL),0,12040102,,,,0,0,,,TXD987993482,,,0,42471,,0,0,0,0,35,0,29.982427,-95.50815,1,1
-95.249594,30.04514,110005120966,,ECHO,,Y,24549 LOOP 494,MOTIVA ENTERPRISES LLC,KINGWOOD,HARRIS,TX,77339,30.04514,ADDRESS MATCHING-HOUSE NUMBER,-95.249594,50,ENTRANCE POINT OF A FACILITY OR STATION,0,12040101,,,,0,0,,,TXD987995255,,,0,42471,,0,0,0,0,36,0,30.04514,-95.249594,1,1
-95.54054,29.67605,110005129100,,ECHO,,Y,9322 BISSONNET,BISSONNET EXXON 62017,HOUSTON,HARRIS,TX,77074,29.67605,ADDRESS MATCHING-HOUSE NUMBER,-95.54054,30,CENTER OF A FACILITY OR STATION,0,12040104,,,,0,0,,,TXD988027884,,,0,42471,,0,0,0,0,37,0,29.67605,-95.54054,1,1
-95.10361,29.76785,110005139251,,ECHO,,Y,1015 LAKESIDE DRIVE,"K-SOLV, LP TERMINAL FACILITY",CHANNELVIEW,HARRIS,TX,77530,29.76785,ADDRESS MATCHING-HOUSE NUMBER,-95.10361,30,CENTER OF A FACILITY OR STATION,6.00E+208,12040104,,,,3400037069,0,,,TXD988044806,,TXD988044806,0,49319,,999999,0,0,0,38,0,29.76785,-95.10361,1,1
-95.24023,29.7383,110005162983,,ECHO/FRS,,Y,900 N MAIN STREET S,SAFETY-KLEEN SYSTEMS GALENA PARK,GALENA PARK,HARRIS,TX,77547,29.7383,ADDRESS MATCHING-HOUSE NUMBER,-95.24023,50,ENTRANCE POINT OF A FACILITY OR STATION,0,12040104,,,,0,,TXG110854,,TXR000000786,,,0,424710,RN101719367,,,,,39,,29.7383,-95.24023,1,1
-95.27311,29.80243,110005175764,,ECHO,,Y,8503 CITY PARK E,CITY PARK EAST INDUSTRIAL INVESTCO,HOUSTON,HARRIS,TX,77013,29.80243,ADDRESS MATCHING-HOUSE NUMBER,-95.27311,30,CENTER OF A FACILITY OR STATION,0,12040104,,,,0,0,,,TXR000018911,,,0,49319,,0,0,0,0,40,0,29.80243,-95.27311,1,1
-95.07114,29.76691,110005179975,,ECHO/FRS,,Y,850 S LYNCHBURG RD,HOUSTON MARINE SERVICE INC.,BAYTOWN,HARRIS,TX,77520,29.76691,ADDRESS MATCHING-HOUSE NUMBER,-95.07114,50,ENTRANCE POINT OF A FACILITY OR STATION,0,12040104,,,"9134511,missing NEI",0,,,,0,,,77520HSTNM85SLY,424710,RN103771879,,,,,41,,29.76691,-95.07114,1,1
-94.92638,29.67143,110005181524,,ECHO/FRS,,Y,200 ATLANTIC PIPELINE RD,CEDAR MARINE TERMINALS,BAYTOWN,CHAMBERS,TX,77523,29.67143,ADDRESS MATCHING-HOUSE NUMBER,-94.92638,30,CENTER OF A FACILITY OR STATION,0,12040203,,,,0,,TXR05AL10,,TXR000026989,,,0,424710,RN105598643,,,,,42,,29.67143,-94.92638,1,1
-95.05692,29.61061,110005184601,,ECHO/FRS,,Y,10020 BAYPORT BLVD,INTERGULF CORPORATION,PASADENA,HARRIS,TX,77507,29.61061,ADDRESS MATCHING-HOUSE NUMBER,-95.05692,30,CENTER OF A FACILITY OR STATION,0,12040204,,,,0,,,,TXR000031286,,,0,493190,RN101517852,,,,,43,,29.61061,-95.05692,1,1
-95.64419,29.77573,110006129723,,ECHO/FRS,,Y,745 HIGHWAY 6 S,EXXON USA 60033,HOUSTON,HARRIS,TX,77079,29.77573,ADDRESS MATCHING-HOUSE NUMBER,-95.64419,30,CENTER OF A FACILITY OR STATION,,12040104,,,,0,,,,TXD988029252,,,,424710,RN101635910,,,,,44,,29.77573,-95.64419,1,1
-95.42927,30.02042,110006452310,,FRS,,Y,17435 NORTH FREEWAY,STAR ENTERPRISES INC,HOUSTON,HARRIS,TX,77090,30.02042,ADDRESS MATCHING-HOUSE NUMBER,-95.42927,30,CENTER OF A FACILITY OR STATION,,12040102,,,,0,,,,,,,,424710,RN102807252,,,,,45,,30.02042,-95.42927,1,1
-95.75167,29.7751,110006452374,,ECHO,,Y,585 S MASON,MASON RD EXXON 60115,KATY,HARRIS,TX,77450,29.7751,ADDRESS MATCHING-HOUSE NUMBER,-95.75167,30,CENTER OF A FACILITY OR STATION,0,12040104,,,,0,0,,,TXD988018727,,,0,42471,,0,0,0,0,46,0,29.7751,-95.75167,1,1
-95.41679,29.94743,110007196809,,ECHO/FRS,,Y,12325 NORTH FREEWAY,US OIL NORTH HOUSTON TERMINAL,HOUSTON,HARRIS,TX,77060,29.94743,ADDRESS MATCHING-HOUSE NUMBER,-95.41679,30,CENTER OF A FACILITY OR STATION,TX0000004820100157,12040104,4820100157,,,0,,,,TXD087611927,,,0,424710,RN100219260,,,,,47,,29.94743,-95.41679,1,1
-95.36569,29.984559,110008148646,,ECHO/FRS,,Y,2050 FUEL STORAGE RD,ALLIED AVIATION FUELING COMPANY OF HOUSTON,HOUSTON,HARRIS,TX,77073,29.984559,ADDRESS MATCHING-HOUSE NUMBER,-95.36569,50,ENTRANCE POINT OF A FACILITY OR STATION,0,12040104,,,6680911,0,,,,TXD072211352,,,77205GDNVT2050F,424710,RN103031076,,,,,48,,29.984559,-95.36569,1,1
-95.58396,29.89051,110008161416,,ECHO,,Y,17438 NORTHWEST FWY,JONES ROAD EXXON 69395,JERSEY VILLAGE,HARRIS,TX,77040,29.89051,ADDRESS MATCHING-HOUSE NUMBER,-95.58396,50,ENTRANCE POINT OF A FACILITY OR STATION,0,12040104,,,,0,0,,,TXD988030615,,,0,42471,,0,0,0,0,49,0,29.89051,-95.58396,1,1
-95.278823,29.783931,110008973263,,SEMS,,Y,300 PORTWALL ST,TYSON FOODS,HOUSTON,HARRIS,TX,77029,29.783931,INTERPOLATION-PHOTO,-95.278823,6,CENTER OF FACILITY,,12040104,,,,0,,TXR05AH06,,,,TXN000606785,,,,,,,,50,,29.783931,-95.278823,1,1
-95.286926,29.649394,110009312172,,SEMS,,Y,8236 TRAVELAIR,URBAN MACHINE,HOUSTON,HARRIS,TX,77061,29.649394,ADDRESS MATCHING-HOUSE NUMBER,-95.286926,50,ENTRANCE POINT OF A FACILITY OR STATION,,12040104,,,,0,,,,,,TX0000605265,,,,,,,,51,,29.649394,-95.286926,1,1
-95.331389,29.767778,110009320751,,SEMS,,Y,RESIDENTIAL AREAS,MANY DIVERSIFIED RESIDENTIAL AREAS,HOUSTON,HARRIS,TX,77020,29.767778,0,-95.331389,0,0,,12040104,,,,18251,,,,,,TX0002288082,,,,,,,,52,,29.767778,-95.331389,1,1
-95.34974,29.79359,110009495000,,ECHO/FRS,,Y,1801 COLLINGSWORTH STREET,LIGHT PRODUCTS TERMINAL,HOUSTON,HARRIS,TX,77009,29.79359,ADDRESS MATCHING-HOUSE NUMBER,-95.34974,30,CENTER OF A FACILITY OR STATION,TX0000004820100104,12040104,,,,8906,,TXG341505,,TXD000741884,,,0,424710,RN100250133,,,,,53,,29.79359,-95.34974,1,1
-95.17985,29.74787,110009496731,,ECHO/FRS,,Y,14035 INDUSTRIAL RD,JOE D HUGHES,HOUSTON,HARRIS,TX,77015,29.74787,ADDRESS MATCHING-HOUSE NUMBER,-95.17985,30,CENTER OF A FACILITY OR STATION,,12040104,,,,0,,,,TXD008949745,,,,493190,RN100674423,,,,,54,,29.74787,-95.17985,1,1
-95.22496,29.71247,110009505883,,ECHO/FRS,,Y,1320 W SHAW AVE,MOTIVA ENTERPRISES LLC PASADENA TERMINAL,PASADENA,HARRIS,TX,77506,29.71247,ADDRESS MATCHING-HOUSE NUMBER,-95.22496,30,CENTER OF A FACILITY OR STATION,TX0000004820100145,12040104,4820100145,,4057011,0,,,,TXD000610352,,,77506PSDNT1320W,424710,RN102862455,,,,,55,,29.71247,-95.22496,1,1
-95.1047,29.75573,110009780371,,ECHO/FRS,,Y,"16642 JACINTOPORT BLVD, N.",HOUSTON FUEL OIL TERMINAL,HOUSTON,HARRIS,TX,77015,29.75573,ADDRESS MATCHING-HOUSE NUMBER,-95.1047,30,CENTER OF A FACILITY OR STATION,TX0000004820100356,12040104,,,4925411,0,,,,TX0000622548,,,0,493190,RN100223445,,,,,56,,29.75573,-95.1047,1,1
-94.911889,29.363806,110010922298,,ECHO/FRS,,Y,159 LEVEE ROAD,NUSTAR TEXAS CITY NO 2 TERMINAL,TEXAS CITY,GALVESTON,TX,77590,29.363806,INTERPOLATION-MAP,-94.911889,50,POINT WHERE SUBSTANCE IS RELEASED,TX0000004816700034,12040204,,,,0,,,,TXD091936351,,,0,493190,RN102178613,,,,,57,,29.363806,-94.911889,1,1
-95.264712,29.642439,110012702539,,ECHO/FRS,,Y,8673 MONROE,VALERO HOBBY REFINED PRODUCTS TERMINAL,HOUSTON,HARRIS,TX,77061,29.642439,ADDRESS MATCHING-HOUSE NUMBER,-95.264712,50,ENTRANCE POINT OF A FACILITY OR STATION,0,12040104,,,"9137811,missing NEI",0,,,,TXR000050963,,,77061HBBYR8673M,424710,,,,,,58,,29.642439,-95.264712,1,1
-95.250637,29.630802,110013796721,,SEMS,,Y,9320 TAVENOR STREET,GULF NUCLEAR - TAVENOR SITE,HOUSTON,HARRIS,TX,77075-2332,29.630802,ADDRESS MATCHING-HOUSE NUMBER,-95.250637,50,ENTRANCE POINT OF A FACILITY OR STATION,,12040104,,,,0,,,,,,TXN000605455,,,,,,,,59,,29.630802,-95.250637,1,1
-95.12456,29.54235,110013797221,,SEMS,,Y,202 MEDICAL CENTER BLVD.,WEBSTER - GULF NUCLEAR,WEBSTER,HARRIS,TX,77598,29.54235,ADDRESS MATCHING-HOUSE NUMBER,-95.12456,30,CENTER OF A FACILITY OR STATION,,12040204,,,,0,,,,,,TX0000605420,,,,,,,,60,,29.54235,-95.12456,1,1
-94.894444,29.856667,110015679595,,ECHO/FRS,,Y,1802 N. LOOP 207,MONT BELVIEU UNDERGROUND STORAGE FACILITY,MONT BELVIEU,CHAMBERS,TX,77523,29.856667,INTERPOLATION-PHOTO,-94.894444,25,CENTER OF FACILITY,TX0000004807100047,12040203,4807100047,,,0,,,,0,,,0,424710,,493190,,,,61,,29.856667,-94.894444,1,1
-95.11327,29.71727,110015685873,,EIS - Keep,,Y,41 TIDAL RD STE A,DEER PARK PLANT,DEER PARK,HARRIS,TX,77536,29.71727,ADDRESS MATCHING-HOUSE NUMBER,-95.11327,30,CENTER OF A FACILITY OR STATION,0,12040104,,,4021611,0,,,,0,,,77536LBRZL41TID,325110,,,,,,62,,29.71727,-95.11327,1,1
-94.896757,29.83003,110017714767,,ECHO/FRS,,Y,9434 HWY 146 N,MONT BELVIEU EAST PRODUCT HANDLING TERMINAL,BAYTOWN,HARRIS,TX,77523,29.83003,ADDRESS MATCHING-HOUSE NUMBER,-94.896757,50,ENTRANCE POINT OF A FACILITY OR STATION,0,12040203,,,,0,,,,0,,,77520MRTNP9434N,424710,RN104952627,,,,,63,,29.83003,-94.896757,1,1
-95.182668,29.998596,110017937580,,SEMS,,Y,5921 FM 1960 EAST,TEXAS MULCH & TOPSOIL,HUMBLE,HARRIS,TX,77346,29.998596,ADDRESS MATCHING-HOUSE NUMBER,-95.182668,50,ENTRANCE POINT OF A FACILITY OR STATION,,12040101,,,,0,,,,,,TXN000605652,,,,,,,,64,,29.998596,-95.182668,1,1
-95.589565,29.880063,110018904907,,ECHO/FRS,,Y,11953 FM 529 ROAD,SAFETY-KLEEN SYSTEMS,HOUSTON,HARRIS,TX,77041,29.880063,ADDRESS MATCHING-HOUSE NUMBER,-95.589565,50,ENTRANCE POINT OF A FACILITY OR STATION,0,12040104,,,,0,,,,TXR000059303,,,77041SFTYK11953,424710,,,,,,65,,29.880063,-95.589565,1,1
-94.77058,29.3144,110020515726,,SEMS,,Y,1 FERRY RD,U.S. COAST GUARD BASE GALVESTON,GALVESTON,GALVESTON,TX,775531912,29.3144,ADDRESS MATCHING-HOUSE NUMBER,-94.77058,50,ENTRANCE POINT OF A FACILITY OR STATION,,12040204,,,,0,,,,,,TX7690308377,,,,,,,,66,,29.3144,-94.77058,1,1
-95.503094,29.635552,110020583402,,SEMS,,Y,14000 MINETTA,MARCUS OIL & CHEMICAL EXPLOSION,HOUSTON,HARRIS,TX,77035,29.635552,0,-95.503094,0,0,,12040104,,,,0,,,,,,TXN000606572,,,,,,,,67,,29.635552,-95.503094,1,1
-95.03023,29.59681,110021001253,,SEMS,,Y,MILEPOSE 6.08,UNION PACIFIC SEABROOK DERAILMENT,SEABROOK,HARRIS,TX,77586,29.59681,0,-95.03023,0,0,,12040204,,,,0,,,,,,TXN000606578,,,,,,,,68,,29.59681,-95.03023,1,1
-95.04774,29.61148,110021001262,,SEMS,,Y,BAY AREA BLVD. & PORT RD.,UNION PACIFIC SHOREACRES DERAILMENT,SHOREACRES,HARRIS,TX,77571,29.61148,ADDRESS MATCHING-NEAREST INTERSECTION,-95.04774,200,ENTRANCE POINT OF A FACILITY OR STATION,,12040204,,,,0,,,,,,TXN000606580,,,,,,,,69,,29.61148,-95.04774,1,1
-95.2694,29.5031,110021001832,,SEMS,,Y,COUNTY RD 128 & AMOCO RD.,BNSF HASTINGS DERAILMENT,HASTINGS,BRAZORIA,TX,77511,29.5031,0,-95.2694,0,0,,12040204,,,,0,,,,,,TXN000606586,,,,,,,,70,,29.5031,-95.2694,1,1
